"group","group_id","vowel","intensity","k","n"
3,1,"e",5,0,2
3,1,"i",5,2,6
3,1,"o",5,2,8
3,1,"u",5,0,10
3,1,"e",8,2,4
3,1,"i",8,0,2
3,1,"o",8,0,4
3,1,"u",8,0,4
3,1,"e",11,2,2
3,1,"i",11,6,14
3,1,"o",11,2,4
3,1,"u",11,0,8
3,1,"e",14,2,4
3,1,"i",14,8,8
3,1,"o",14,4,8
3,1,"u",14,2,2
3,1,"e",17,6,8
3,1,"i",17,2,2
3,1,"o",17,4,4
3,1,"u",17,0,8
3,1,"e",20,6,6
3,1,"i",20,6,6
3,1,"o",20,0,6
3,1,"u",20,8,8
3,1,"e",23,2,2
3,1,"i",23,2,2
3,1,"o",23,4,4
3,1,"u",23,4,8
5,2,"e",5,4,4
5,2,"i",5,4,4
5,2,"o",5,0,4
5,2,"u",5,0,2
5,2,"e",8,2,2
5,2,"i",8,2,6
5,2,"o",8,2,4
5,2,"e",11,2,4
5,2,"i",11,0,2
5,2,"o",11,0,4
5,2,"u",11,0,4
5,2,"i",14,4,4
5,2,"o",14,2,2
5,2,"u",14,0,2
5,2,"e",17,10,10
5,2,"i",17,2,2
5,2,"o",17,2,6
5,2,"u",17,4,8
5,2,"e",20,4,4
5,2,"i",20,4,4
5,2,"o",20,0,6
5,2,"u",20,2,2
5,2,"i",23,4,4
5,2,"o",23,2,6
5,2,"u",23,2,4
6,3,"i",5,0,6
6,3,"o",5,0,6
6,3,"u",5,2,6
6,3,"e",8,4,8
6,3,"i",8,0,8
6,3,"o",8,2,6
6,3,"u",8,2,4
6,3,"e",11,0,2
6,3,"i",11,2,8
6,3,"o",11,2,4
6,3,"e",14,10,10
6,3,"i",14,4,6
6,3,"o",14,2,4
6,3,"u",14,0,4
6,3,"e",17,2,6
6,3,"u",17,2,2
6,3,"i",20,4,4
6,3,"o",20,2,2
6,3,"u",20,8,8
6,3,"e",23,10,10
6,3,"i",23,2,2
6,3,"o",23,4,4
6,3,"u",23,8,8
7,4,"e",5,0,6
7,4,"i",5,2,6
7,4,"o",5,0,4
7,4,"u",5,4,6
7,4,"e",8,2,10
7,4,"i",8,2,4
7,4,"o",8,8,8
7,4,"e",11,0,6
7,4,"i",11,2,8
7,4,"o",11,8,14
7,4,"u",11,6,6
7,4,"i",14,4,4
7,4,"o",14,2,2
7,4,"u",14,8,8
7,4,"e",17,2,4
7,4,"i",17,6,6
7,4,"o",17,4,6
7,4,"e",20,8,8
7,4,"i",20,6,6
7,4,"o",20,10,12
7,4,"u",20,6,6
7,4,"e",23,6,6
7,4,"i",23,2,2
7,4,"o",23,4,6
7,4,"u",23,4,4
8,5,"e",5,6,12
8,5,"i",5,4,18
8,5,"o",5,2,8
8,5,"u",5,2,14
8,5,"e",8,6,8
8,5,"i",8,6,14
8,5,"o",8,10,12
8,5,"u",8,2,10
8,5,"e",11,10,10
8,5,"i",11,2,10
8,5,"o",11,2,4
8,5,"u",11,4,4
8,5,"e",14,20,20
8,5,"i",14,10,10
8,5,"o",14,6,8
8,5,"u",14,10,10
8,5,"e",17,12,12
8,5,"i",17,12,12
8,5,"o",17,14,18
8,5,"u",17,4,4
8,5,"e",20,2,2
8,5,"i",20,10,10
8,5,"o",20,4,10
8,5,"u",20,10,10
8,5,"e",23,16,16
8,5,"i",23,8,8
8,5,"u",23,4,4
9,6,"e",5,0,4
9,6,"i",5,2,2
9,6,"o",5,2,2
9,6,"u",5,0,6
9,6,"e",8,4,6
9,6,"i",8,0,6
9,6,"o",8,4,6
9,6,"u",8,0,2
9,6,"e",11,0,2
9,6,"i",11,0,4
9,6,"o",11,0,2
9,6,"u",11,0,2
9,6,"e",14,4,4
9,6,"i",14,4,4
9,6,"o",17,0,2
9,6,"u",17,0,2
9,6,"i",20,4,6
9,6,"o",20,0,2
9,6,"e",23,12,12
9,6,"i",23,2,4
9,6,"u",23,0,2
11,7,"e",5,4,6
11,7,"i",5,0,6
11,7,"o",5,6,8
11,7,"u",5,0,2
11,7,"e",8,8,10
11,7,"i",8,0,4
11,7,"u",8,0,4
11,7,"e",11,2,6
11,7,"i",11,0,6
11,7,"o",11,2,4
11,7,"u",11,0,10
11,7,"i",14,4,8
11,7,"o",14,6,8
11,7,"u",14,4,4
11,7,"e",17,4,8
11,7,"i",17,6,6
11,7,"o",17,4,4
11,7,"u",17,6,8
11,7,"e",20,4,4
11,7,"i",20,2,4
11,7,"o",20,2,2
11,7,"u",20,6,6
11,7,"e",23,6,10
11,7,"i",23,10,12
11,7,"o",23,4,4
11,7,"u",23,4,4
13,8,"e",5,12,16
13,8,"i",5,4,14
13,8,"o",5,0,12
13,8,"u",5,4,6
13,8,"e",8,8,8
13,8,"i",8,8,12
13,8,"o",8,6,10
13,8,"u",8,0,10
13,8,"e",11,14,14
13,8,"i",11,6,6
13,8,"o",11,2,2
13,8,"u",11,6,14
13,8,"e",14,12,12
13,8,"i",14,4,4
13,8,"o",14,4,10
13,8,"u",14,4,6
13,8,"e",17,10,10
13,8,"i",17,16,16
13,8,"o",17,6,6
13,8,"u",17,8,8
13,8,"e",20,12,12
13,8,"i",20,6,6
13,8,"o",20,2,2
13,8,"u",20,14,14
13,8,"e",23,14,14
13,8,"i",23,10,10
13,8,"o",23,10,10
13,8,"u",23,12,12
15,9,"e",8,2,2
15,9,"i",8,2,6
15,9,"u",8,0,6
15,9,"e",11,2,4
15,9,"i",11,0,4
15,9,"o",11,4,6
15,9,"u",11,0,6
15,9,"e",14,2,2
15,9,"i",14,4,4
15,9,"o",14,2,2
15,9,"u",14,4,4
15,9,"e",17,2,2
15,9,"i",17,2,2
15,9,"o",17,0,2
15,9,"u",17,0,6
15,9,"e",20,4,4
15,9,"i",20,2,2
15,9,"o",20,0,2
15,9,"u",20,2,4
15,9,"e",23,2,2
15,9,"i",23,4,4
15,9,"o",23,2,2
15,9,"u",23,4,10
