,model,WAIC,WAIC_SE,pWAIC,dWAIC,weight
,self entr,1425.495,91.753,88.245,0.000,0.177
,synergy l,1425.701,91.438,87.696,0.206,0.159
,self l,1426.416,91.720,88.387,0.921,0.112
,align entr,1426.661,91.802,88.508,1.166,0.099
,synergy entr,1426.680,91.891,88.724,1.185,0.098
,conf align local,1427.071,91.861,88.696,1.576,0.080
,type diff,1427.102,91.836,88.670,1.608,0.079
,conf align global,1427.910,91.756,89.136,2.415,0.053
,intercept,1428.185,91.575,88.434,2.690,0.046
,align l,1428.412,91.902,89.485,2.917,0.041
,indiscriminate align local,1429.054,91.892,89.964,3.560,0.030
,cosine,1429.295,91.908,89.720,3.800,0.026
